incident_id,timestamp,service_criticality,customer_impact_pct,affected_services,error_rate_pct,latency_increase_pct,recent_deploy,repeat_incident_30d,monitoring_confidence,is_p1
INC-000039,2024-01-05 18:00:00,2,37.463,5,6.519,23.972,0,1,0.7634,0
INC-000040,2024-01-05 21:00:00,4,36.268,3,4.545,64.072,0,0,0.79374,0
INC-000041,2024-01-06 00:00:00,1,0.968,4,2.112,21.611,1,0,0.76379,0
INC-000042,2024-01-06 03:00:00,4,0.988,2,7.282,17.349,1,0,0.60192,0
INC-000043,2024-01-06 06:00:00,4,3.174,3,7.572,19.658,0,0,0.77558,0
INC-000044,2024-01-06 09:00:00,2,35.269,4,6.787,15.541,0,0,0.34899,0
INC-000045,2024-01-06 12:00:00,1,9.277,2,2.108,35.307,0,0,0.89957,0
INC-000046,2024-01-06 15:00:00,5,3.498,2,7.004,26.914,0,0,0.58601,0
INC-000047,2024-01-06 18:00:00,3,6.14,2,0.492,25.566,0,0,0.77368,0
INC-000048,2024-01-06 21:00:00,5,18.762,2,9.717,47.774,0,0,0.65567,0
INC-000049,2024-01-07 00:00:00,4,23.361,3,3.342,35.571,0,0,0.90656,0
INC-000050,2024-01-07 03:00:00,4,7.509,1,2.269,1.463,0,0,0.81882,0
INC-000051,2024-01-07 06:00:00,4,22.809,2,0.829,15.267,0,0,0.96407,0
INC-000052,2024-01-07 09:00:00,1,25.297,2,18.957,6.39,0,0,0.67079,0
INC-000053,2024-01-07 12:00:00,2,41.835,2,4.889,10.864,0,1,0.84097,0
INC-000054,2024-01-07 15:00:00,3,17.145,3,1.861,13.018,0,0,0.76584,0
INC-000055,2024-01-07 18:00:00,3,71.887,6,4.462,10.541,0,0,0.86135,0
INC-000056,2024-01-07 21:00:00,1,11.031,3,2.022,36.698,0,1,0.5855,0
INC-000057,2024-01-08 00:00:00,3,5.118,7,4.832,32.581,1,0,0.88584,0
INC-000058,2024-01-08 03:00:00,1,31.292,7,7.139,15.213,1,0,0.85533,0
INC-000059,2024-01-08 06:00:00,4,43.478,2,3.572,31.712,0,1,0.80053,0
INC-000060,2024-01-08 09:00:00,4,2.213,3,1.637,28.836,1,0,0.71865,0
INC-000061,2024-01-08 12:00:00,5,6.207,3,6.411,22.973,0,0,0.84466,0
INC-000062,2024-01-08 15:00:00,4,19.025,2,1.402,18.724,0,0,0.49078,1
INC-000063,2024-01-08 18:00:00,2,40.773,1,3.652,39.377,0,1,0.8613,0
INC-000064,2024-01-08 21:00:00,5,27.523,3,15.358,20.493,1,0,0.55302,0
INC-000065,2024-01-09 00:00:00,3,6.739,4,3.843,25.003,0,0,0.54926,0
INC-000066,2024-01-09 03:00:00,2,3.282,3,5.165,23.755,0,0,0.79675,0
INC-000067,2024-01-09 06:00:00,5,32.223,7,7.738,13.429,0,0,0.41224,0
INC-000068,2024-01-09 09:00:00,2,1.255,1,10.937,12.818,0,0,0.58428,0
INC-000069,2024-01-09 12:00:00,1,3.5,3,0.697,17.756,0,1,0.82519,0
INC-000070,2024-01-09 15:00:00,3,2.16,3,3.32,36.244,0,0,0.54968,0
INC-000071,2024-01-09 18:00:00,4,51.93,2,1.445,19.226,0,1,0.80667,0
INC-000072,2024-01-09 21:00:00,1,10.078,4,12.376,3.265,0,0,0.49365,0
INC-000073,2024-01-10 00:00:00,3,19.173,3,3.042,26.828,0,0,0.78492,0
INC-000074,2024-01-10 03:00:00,1,31.703,2,0.346,13.937,1,0,0.68032,0
INC-000075,2024-01-10 06:00:00,4,3.507,2,5.72,10.442,1,0,0.71567,0
INC-000076,2024-01-10 09:00:00,3,4.632,3,2.531,33.878,0,0,0.63785,0
INC-000077,2024-01-10 12:00:00,2,14.879,2,5.451,33.71,0,0,0.77473,0
INC-000078,2024-01-10 15:00:00,2,5.567,5,7.97,23.12,0,0,0.67197,0
INC-000079,2024-01-10 18:00:00,3,7.657,5,9.77,16.772,0,0,0.6826,0
INC-000080,2024-01-10 21:00:00,4,11.398,2,13.574,14.416,0,0,0.60809,0
INC-000081,2024-01-11 00:00:00,5,23.449,3,13.788,6.47,0,1,0.62483,0
INC-000082,2024-01-11 03:00:00,3,8.859,1,0.718,1.497,0,1,0.63751,0
INC-000083,2024-01-11 06:00:00,1,8.363,4,3.41,15.255,0,0,0.8371,0
INC-000084,2024-01-11 09:00:00,5,28.089,3,1.329,15.528,0,0,0.71997,0
INC-000085,2024-01-11 12:00:00,4,35.096,3,5.744,9.814,1,0,0.826,0
INC-000086,2024-01-11 15:00:00,4,43.04,3,3.581,47.629,1,0,0.97966,0
INC-000087,2024-01-11 18:00:00,1,44.272,3,9.222,13.528,0,0,0.76513,0
INC-000088,2024-01-11 21:00:00,2,6.909,7,4.271,22.913,0,0,0.80816,0
INC-000089,2024-01-12 00:00:00,4,2.861,4,12.235,26.497,0,0,0.7163,0
INC-000090,2024-01-12 03:00:00,5,5.718,3,14.187,29.179,0,0,0.79439,0
INC-000091,2024-01-12 06:00:00,3,0.347,4,11.912,12.141,1,0,0.48066,0
INC-000092,2024-01-12 09:00:00,5,15.405,2,0.315,16.415,0,0,0.94868,0
INC-000093,2024-01-12 12:00:00,5,32.36,9,5.331,21.243,0,0,0.79371,0
INC-000094,2024-01-12 15:00:00,2,9.559,2,3.149,12.204,0,0,0.85372,0
INC-000095,2024-01-12 18:00:00,5,54.578,2,3.591,44.595,0,0,0.92514,0
INC-000096,2024-01-12 21:00:00,2,35.766,4,8.116,83.098,1,0,0.77984,0
INC-000097,2024-01-13 00:00:00,2,12.805,3,3.347,25.956,1,0,0.73521,0
INC-000098,2024-01-13 03:00:00,4,4.486,5,4.503,25.772,0,0,0.4104,0
INC-000099,2024-01-13 06:00:00,4,12.473,4,4.715,42.447,0,0,0.82816,0
INC-000100,2024-01-13 09:00:00,1,7.279,2,0.476,36.396,0,0,0.5803,0
INC-000101,2024-01-13 12:00:00,5,23.501,1,2.919,20.561,0,0,0.66504,0
INC-000102,2024-01-13 15:00:00,1,30.178,2,9.716,61.296,0,1,0.78277,0
INC-000103,2024-01-13 18:00:00,5,32.669,4,0.385,12.706,0,0,0.77205,0
INC-000104,2024-01-13 21:00:00,1,26.41,4,6.621,34.111,0,0,0.78156,0
INC-000105,2024-01-14 00:00:00,4,30.899,2,1.878,16.306,0,0,0.89403,0
INC-000106,2024-01-14 03:00:00,4,7.563,2,3.092,28.189,0,0,0.87239,0
INC-000107,2024-01-14 06:00:00,4,9.972,2,7.645,15.036,0,1,0.91719,0
INC-000108,2024-01-14 09:00:00,4,10.653,4,1.46,59.976,0,0,0.40595,0
INC-000109,2024-01-14 12:00:00,3,8.343,6,3.34,43.877,0,1,0.55406,0
INC-000110,2024-01-14 15:00:00,4,8.247,3,0.738,27.162,1,0,0.88468,0
INC-000111,2024-01-14 18:00:00,2,9.852,2,5.942,36.812,0,0,0.77148,0
INC-000112,2024-01-14 21:00:00,4,16.69,1,2.109,9.858,0,0,0.88374,0
INC-000113,2024-01-15 00:00:00,3,14.643,5,0.991,5.421,0,0,0.78061,0
INC-000114,2024-01-15 03:00:00,3,22.787,3,4.29,12.312,1,0,0.55888,0
INC-000115,2024-01-15 06:00:00,3,0.292,5,0.701,58.849,0,0,0.77315,0
INC-000116,2024-01-15 09:00:00,3,2.747,3,3.019,14.99,0,0,0.42343,0
INC-000117,2024-01-15 12:00:00,1,32.623,1,1.931,38.455,0,0,0.79188,0
INC-000118,2024-01-15 15:00:00,1,23.806,3,5.095,17.488,1,0,0.93556,0
INC-000119,2024-01-15 18:00:00,2,0.323,1,5.187,18.341,0,0,0.81258,0
INC-000120,2024-01-15 21:00:00,1,12.895,5,2.278,15.163,0,0,0.81366,0
INC-000121,2024-01-16 00:00:00,3,6.575,5,12.041,14.349,0,0,0.50281,0
INC-000122,2024-01-16 03:00:00,4,9.348,1,9.372,36.56,0,1,0.55,0
INC-000123,2024-01-16 06:00:00,4,11.887,3,1.668,14.533,0,0,0.27505,0
INC-000124,2024-01-16 09:00:00,3,8.179,3,19.824,14.211,0,1,0.91156,0
INC-000125,2024-01-16 12:00:00,5,14.907,4,7.384,20.743,0,0,0.98338,0
INC-000126,2024-01-16 15:00:00,3,11.855,3,5.558,16.443,1,1,0.6081,0
INC-000127,2024-01-16 18:00:00,1,7.699,1,5.856,10.597,0,0,0.81933,0
INC-000128,2024-01-16 21:00:00,4,11.438,2,1.247,33.8,0,0,0.76576,0
INC-000129,2024-01-17 00:00:00,3,9.906,3,10.519,24.394,0,0,0.68009,0
INC-000130,2024-01-17 03:00:00,4,8.139,5,0.5,13.788,0,0,0.60628,0
INC-000131,2024-01-17 06:00:00,3,8.219,1,5.832,10.624,1,1,0.52635,0
INC-000132,2024-01-17 09:00:00,3,6.695,3,9.472,43.028,1,1,0.45674,0
INC-000133,2024-01-17 12:00:00,1,47.376,3,1.816,7.152,0,0,0.83263,0
INC-000134,2024-01-17 15:00:00,3,22.049,3,7.793,30.761,1,0,0.69982,0
INC-000135,2024-01-17 18:00:00,4,39.785,5,4.65,3.127,0,0,0.81123,0
INC-000136,2024-01-17 21:00:00,2,29.021,3,8.17,22.317,1,0,0.88025,0
INC-000137,2024-01-18 00:00:00,4,11.643,3,9.157,22.788,0,0,0.60535,0
INC-000138,2024-01-18 03:00:00,1,13.475,3,12.847,5.993,1,0,0.67127,0
INC-000139,2024-01-18 06:00:00,2,1.211,5,10.874,6.485,1,0,0.91207,0
INC-000140,2024-01-18 09:00:00,3,17.89,3,0.599,23.375,0,1,0.94141,0
INC-000141,2024-01-18 12:00:00,5,14.179,2,1.721,6.297,0,0,0.77564,0
INC-000142,2024-01-18 15:00:00,2,1.485,5,6.33,49.275,1,0,0.91181,0
INC-000143,2024-01-18 18:00:00,2,10.87,5,9.253,13.933,0,0,0.80146,0
INC-000144,2024-01-18 21:00:00,3,50.423,2,1.492,55.071,0,0,0.58827,0
INC-000145,2024-01-19 00:00:00,5,5.128,5,7.282,47.259,0,0,0.75339,0
INC-000146,2024-01-19 03:00:00,5,31.874,5,11.45,18.911,0,0,0.58167,0
INC-000147,2024-01-19 06:00:00,1,5.984,2,8.994,23.946,0,0,0.7032,0
INC-000148,2024-01-19 09:00:00,2,47.212,4,7.197,41.285,1,0,0.83094,0
INC-000149,2024-01-19 12:00:00,5,8.81,3,4.064,8.306,1,0,0.58166,0
INC-000150,2024-01-19 15:00:00,1,8.85,3,3.897,14.97,0,1,0.8116,0
INC-000151,2024-01-19 18:00:00,5,58.836,3,17.625,54.153,1,0,0.78928,1
INC-000152,2024-01-19 21:00:00,2,8.303,3,2.72,38.062,0,0,0.79208,0
INC-000153,2024-01-20 00:00:00,5,16.269,3,1.729,17.142,0,0,0.94269,0
INC-000154,2024-01-20 03:00:00,2,34.521,1,1.009,24.1,0,0,0.76157,0
INC-000155,2024-01-20 06:00:00,3,2.853,2,6.868,11.996,0,0,0.90022,0
INC-000156,2024-01-20 09:00:00,4,1.132,4,6.154,16.013,0,0,0.60342,0
INC-000157,2024-01-20 12:00:00,1,15.04,2,4.388,30.419,0,0,0.60452,0
INC-000158,2024-01-20 15:00:00,3,10.421,2,6.151,16.057,0,0,0.80157,0
INC-000159,2024-01-20 18:00:00,3,7.398,6,8.177,33.884,0,0,0.84774,0
INC-000160,2024-01-20 21:00:00,4,19.898,3,3.589,6.302,0,1,0.61607,0
INC-000161,2024-01-21 00:00:00,5,29.079,4,6.499,30.174,0,0,0.76299,0
INC-000162,2024-01-21 03:00:00,4,15.984,2,3.312,9.187,0,0,0.61705,0
INC-000163,2024-01-21 06:00:00,3,29.208,7,6.672,18.508,1,0,0.83753,0
INC-000164,2024-01-21 09:00:00,3,20.009,4,11.515,11.398,0,0,0.74737,0
INC-000165,2024-01-21 12:00:00,3,14.265,3,8.809,30.231,1,0,0.76488,0
INC-000166,2024-01-21 15:00:00,5,10.727,5,14.517,6.938,1,0,0.62416,0
INC-000167,2024-01-21 18:00:00,2,18.601,3,2.742,34.167,1,0,0.48832,0
INC-000168,2024-01-21 21:00:00,1,14.966,4,2.199,20.579,0,0,0.70181,0
INC-000169,2024-01-22 00:00:00,2,24.217,3,6.053,17.31,0,0,0.88488,0
INC-000170,2024-01-22 03:00:00,1,2.817,7,2.824,12.719,0,0,0.63522,0
INC-000171,2024-01-22 06:00:00,1,13.265,4,6.903,14.757,0,0,0.96129,0
INC-000172,2024-01-22 09:00:00,1,4.501,2,5.126,46.555,0,0,0.67737,0
INC-000173,2024-01-22 12:00:00,4,3.394,4,1.769,12.504,0,1,0.70742,0
INC-000174,2024-01-22 15:00:00,4,27.139,6,6.272,46.785,0,0,0.58822,0
INC-000175,2024-01-22 18:00:00,4,21.401,4,1.894,57.028,1,0,0.80522,0
INC-000176,2024-01-22 21:00:00,3,12.259,3,12.126,17.008,0,0,0.95776,0
INC-000177,2024-01-23 00:00:00,4,0.686,6,3.666,5.417,1,0,0.60344,0
INC-000178,2024-01-23 03:00:00,1,1.011,3,2.183,39.257,1,0,0.88095,0
INC-000179,2024-01-23 06:00:00,5,13.602,2,5.257,38.96,1,0,0.75052,0
INC-000180,2024-01-23 09:00:00,3,13.493,3,5.729,47.237,0,0,0.55617,0
INC-000181,2024-01-23 12:00:00,5,14.722,4,2.669,19.522,1,0,0.75038,0
INC-000182,2024-01-23 15:00:00,1,6.314,2,2.555,25.87,0,0,0.91526,0
INC-000183,2024-01-23 18:00:00,3,2.663,7,0.734,14.609,1,0,0.72453,0
INC-000184,2024-01-23 21:00:00,4,18.796,4,8.474,14.11,0,0,0.78933,0
INC-000185,2024-01-24 00:00:00,3,13.382,1,11.887,24.925,0,0,0.90365,0
INC-000186,2024-01-24 03:00:00,3,55.381,4,9.468,41.541,0,0,0.54088,0
INC-000187,2024-01-24 06:00:00,1,8.051,4,2.125,35.544,1,0,0.73158,0
INC-000188,2024-01-24 09:00:00,2,8.494,8,6.153,21.26,1,0,0.72487,0
INC-000189,2024-01-24 12:00:00,2,16.076,5,5.331,43.885,0,0,0.80421,0
INC-000190,2024-01-24 15:00:00,2,44.396,2,0.982,7.098,0,0,0.80694,0
INC-000191,2024-01-24 18:00:00,4,9.038,4,2.655,88.464,0,0,0.85148,0
INC-000192,2024-01-24 21:00:00,4,16.991,6,5.818,7.814,1,0,0.71801,0
INC-000193,2024-01-25 00:00:00,4,4.548,4,0.442,19.989,0,0,0.68424,0
INC-000194,2024-01-25 03:00:00,2,12.511,3,1.506,24.646,1,0,0.54378,0
INC-000195,2024-01-25 06:00:00,5,5.044,3,7.746,25.327,1,1,0.79776,0
INC-000196,2024-01-25 09:00:00,1,12.181,3,2.062,40.998,0,1,0.82961,0
INC-000197,2024-01-25 12:00:00,2,9.768,3,1.001,10.392,0,0,0.74367,0
INC-000198,2024-01-25 15:00:00,1,13.901,1,9.114,26.544,0,0,0.72827,0
INC-000199,2024-01-25 18:00:00,2,19.483,1,2.064,33.577,1,0,0.83621,0
INC-000200,2024-01-25 21:00:00,5,10.516,4,7.793,44.994,0,0,0.97013,0
INC-000201,2024-01-26 00:00:00,2,5.559,5,14.297,16.865,1,0,0.8057,0
INC-000202,2024-01-26 03:00:00,5,35.697,4,1.463,23.033,1,0,0.67162,1
INC-000203,2024-01-26 06:00:00,3,18.742,4,3.797,20.804,0,1,0.54221,0
INC-000204,2024-01-26 09:00:00,4,21.631,5,5.383,32.467,0,0,0.95394,0
INC-000205,2024-01-26 12:00:00,3,17.496,4,8.996,32.615,0,0,0.66227,0
INC-000206,2024-01-26 15:00:00,2,13.328,6,2.655,16.334,0,0,0.79914,0
INC-000207,2024-01-26 18:00:00,4,9.427,9,0.226,20.512,1,1,0.67817,0
INC-000208,2024-01-26 21:00:00,5,31.708,1,1.466,21.646,0,0,0.70163,0
INC-000209,2024-01-27 00:00:00,2,8.432,5,3.161,9.001,0,1,0.67576,0
INC-000210,2024-01-27 03:00:00,4,21.709,4,7.789,27.592,0,0,0.71942,0
INC-000211,2024-01-27 06:00:00,2,5.749,2,3.836,26.841,1,0,0.84023,0
INC-000212,2024-01-27 09:00:00,4,5.93,2,7.404,9.083,0,0,0.57473,0
INC-000213,2024-01-27 12:00:00,4,6.37,3,3.063,28.897,0,0,0.82358,0
INC-000214,2024-01-27 15:00:00,3,10.187,5,4.987,96.568,0,0,0.95839,0
INC-000215,2024-01-27 18:00:00,4,7.156,6,8.24,11.407,1,0,0.75485,0
INC-000216,2024-01-27 21:00:00,2,25.732,3,9.93,9.002,0,0,0.63818,0
INC-000217,2024-01-28 00:00:00,1,29.313,1,16.616,33.285,0,0,0.85222,0
INC-000218,2024-01-28 03:00:00,1,3.681,2,5.55,16.255,1,0,0.74926,0
INC-000219,2024-01-28 06:00:00,3,5.89,4,0.585,41.085,0,0,0.81684,0
INC-000220,2024-01-28 09:00:00,5,17.172,4,6.34,19.8,0,0,0.84972,0
INC-000221,2024-01-28 12:00:00,1,13.159,7,0.541,13.32,0,0,0.92461,0
INC-000222,2024-01-28 15:00:00,3,19.226,3,6.943,19.561,0,0,0.66824,0
INC-000223,2024-01-28 18:00:00,4,23.561,1,4.848,32.609,0,1,0.75207,0
INC-000224,2024-01-28 21:00:00,2,21.932,3,9.543,31.847,0,0,0.84662,0
INC-000225,2024-01-29 00:00:00,4,14.614,4,3.053,6.408,0,0,0.6485,0
INC-000226,2024-01-29 03:00:00,2,0.622,1,5.042,32.544,0,0,0.73697,0
INC-000227,2024-01-29 06:00:00,5,2.499,6,6.43,22.109,0,0,0.95347,0
INC-000228,2024-01-29 09:00:00,3,15.853,3,0.296,23.45,0,0,0.93826,0
INC-000229,2024-01-29 12:00:00,3,15.534,2,6.201,27.607,0,0,0.74012,0
INC-000230,2024-01-29 15:00:00,1,11.166,3,2.222,8.858,0,0,0.97176,0
INC-000231,2024-01-29 18:00:00,3,21.929,2,5.706,6.164,0,1,0.84285,0
INC-000232,2024-01-29 21:00:00,5,6.595,2,0.437,6.613,1,0,0.78677,0
INC-000233,2024-01-30 00:00:00,1,5.018,4,7.203,39.399,0,0,0.88384,0
INC-000234,2024-01-30 03:00:00,4,23.114,3,6.748,39.18,1,0,0.62122,0
INC-000235,2024-01-30 06:00:00,3,13.497,5,9.244,2.086,0,0,0.78345,0
INC-000236,2024-01-30 09:00:00,4,27.917,9,0.767,20.478,0,0,0.84527,0
INC-000237,2024-01-30 12:00:00,4,6.697,7,16.294,14.29,1,0,0.82247,0
INC-000238,2024-01-30 15:00:00,3,18.794,5,1.223,9.849,0,0,0.90069,0
INC-000239,2024-01-30 18:00:00,2,12.863,3,5.022,44.644,1,0,0.80912,0
INC-000240,2024-01-30 21:00:00,4,15.269,8,3.236,50.603,0,0,0.68029,0
INC-000241,2024-01-31 00:00:00,1,5.499,3,3.941,24.263,0,0,0.68955,0
INC-000242,2024-01-31 03:00:00,3,9.235,3,14.639,13.619,0,0,0.56829,0
INC-000243,2024-01-31 06:00:00,1,9.866,5,1.427,15.604,0,0,0.85024,0
INC-000244,2024-01-31 09:00:00,4,5.01,3,13.048,8.488,0,0,0.54403,0
INC-000245,2024-01-31 12:00:00,4,14.547,3,8.016,15.409,0,0,0.83295,0
INC-000246,2024-01-31 15:00:00,1,5.253,4,4.328,10.958,1,0,0.77356,0
INC-000247,2024-01-31 18:00:00,4,28.159,3,4.292,48.435,0,0,0.84698,0
INC-000248,2024-01-31 21:00:00,3,6.04,3,6.778,4.217,0,0,0.66442,0
INC-000249,2024-02-01 00:00:00,4,15.533,4,3.037,36.424,0,1,0.81086,0
INC-000250,2024-02-01 03:00:00,1,11.709,3,3.587,10.36,0,0,0.86015,0
INC-000251,2024-02-01 06:00:00,1,6.497,2,5.006,32.343,0,0,0.95914,0
INC-000252,2024-02-01 09:00:00,3,32.993,4,12.001,18.953,0,0,0.85503,0
INC-000253,2024-02-01 12:00:00,1,17.036,3,3.901,36.812,1,0,0.7397,0
INC-000254,2024-02-01 15:00:00,2,13.737,2,0.677,6.907,0,0,0.75455,0
INC-000255,2024-02-01 18:00:00,4,10.464,2,5.181,13.135,0,1,0.85897,0
INC-000256,2024-02-01 21:00:00,1,7.076,6,4.106,16.346,0,0,0.66012,0
INC-000257,2024-02-02 00:00:00,4,16.932,3,2.437,21.948,0,0,0.65091,0
INC-000258,2024-02-02 03:00:00,1,5.294,5,5.852,21.71,0,0,0.9549,0
INC-000259,2024-02-02 06:00:00,1,6.776,3,2.518,8.417,0,1,0.78402,0
INC-000260,2024-02-02 09:00:00,3,22.209,2,3.823,6.463,1,0,0.62867,0
INC-000261,2024-02-02 12:00:00,4,7.982,5,5.031,17.121,0,0,0.71466,0
INC-000262,2024-02-02 15:00:00,1,31.522,2,5.443,19.925,1,1,0.81541,0
INC-000263,2024-02-02 18:00:00,2,5.001,2,6.235,16.416,1,0,0.72696,0
INC-000264,2024-02-02 21:00:00,5,3.409,5,6.936,4.205,0,0,0.90061,0
INC-000265,2024-02-03 00:00:00,5,2.1,3,4.945,20.563,1,0,0.64675,0
INC-000266,2024-02-03 03:00:00,3,1.811,5,0.878,28.605,0,0,0.94546,0
INC-000267,2024-02-03 06:00:00,3,3.373,3,5.606,24.234,0,1,0.59911,0
INC-000268,2024-02-03 09:00:00,2,26.111,3,9.078,18.446,0,0,0.60352,0
INC-000269,2024-02-03 12:00:00,4,58.516,6,0.665,22.854,0,0,0.95462,0
INC-000270,2024-02-03 15:00:00,3,13.269,3,0.891,11.292,0,0,0.89841,0
INC-000271,2024-02-03 18:00:00,2,40.958,3,2.156,44.672,1,0,0.65227,0
INC-000272,2024-02-03 21:00:00,1,15.817,5,8.664,14.072,0,0,0.70777,0
INC-000273,2024-02-04 00:00:00,1,24.564,2,2.039,29.231,0,0,0.58588,0
INC-000274,2024-02-04 03:00:00,5,5.268,5,8.757,17.901,0,0,0.82121,0
INC-000275,2024-02-04 06:00:00,3,26.219,2,5.341,37.899,1,1,0.63217,0
INC-000276,2024-02-04 09:00:00,3,17.493,5,2.633,13.822,0,0,0.61433,0
INC-000277,2024-02-04 12:00:00,3,13.591,3,26.478,38.129,0,0,0.76795,0
INC-000278,2024-02-04 15:00:00,4,15.322,4,1.27,48.496,0,0,0.74983,0
INC-000279,2024-02-04 18:00:00,1,9.978,1,4.51,10.567,1,0,0.72572,0
INC-000280,2024-02-04 21:00:00,1,10.339,5,1.811,35.426,0,0,0.9359,0
INC-000281,2024-02-05 00:00:00,2,26.195,5,5.825,55.697,0,0,0.58568,0
INC-000282,2024-02-05 03:00:00,3,29.848,4,1.896,25.588,0,0,0.81488,0
INC-000283,2024-02-05 06:00:00,4,5.235,2,2.989,42.745,0,0,0.97316,0
INC-000284,2024-02-05 09:00:00,3,13.575,3,2.263,49.221,0,1,0.75434,0
INC-000285,2024-02-05 12:00:00,3,0.739,4,3.522,38.913,1,0,0.60961,0
INC-000286,2024-02-05 15:00:00,5,22.081,3,9.026,11.516,0,0,0.85396,0
INC-000287,2024-02-05 18:00:00,1,20.442,2,1.09,28.065,0,0,0.78614,0
INC-000288,2024-02-05 21:00:00,3,45.039,6,2.082,30.49,1,0,0.88826,0
INC-000289,2024-02-06 00:00:00,3,60.84,2,3.11,3.651,0,0,0.96414,0
INC-000290,2024-02-06 03:00:00,3,26.77,4,3.652,19.005,0,0,0.67859,0
INC-000291,2024-02-06 06:00:00,5,30.578,4,11.449,22.949,0,0,0.90645,0
INC-000292,2024-02-06 09:00:00,2,20.811,2,2.18,28.963,0,1,0.7403,0
INC-000293,2024-02-06 12:00:00,5,10.674,3,8.736,9.171,0,1,0.73161,0
INC-000294,2024-02-06 15:00:00,2,4.555,6,12.525,17.898,0,0,0.58034,0
INC-000295,2024-02-06 18:00:00,3,39.062,4,3.857,24.231,0,0,0.7093,0
INC-000296,2024-02-06 21:00:00,3,4.063,8,1.701,15.208,1,0,0.92691,0
INC-000297,2024-02-07 00:00:00,5,8.274,4,10.405,3.56,0,0,0.86309,0
INC-000298,2024-02-07 03:00:00,3,15.87,1,8.186,46.056,0,0,0.7732,0
INC-000299,2024-02-07 06:00:00,2,1.677,3,1.544,68.71,0,0,0.58669,0
INC-000300,2024-02-07 09:00:00,1,1.37,2,13.954,26.561,1,0,0.76445,0
INC-000301,2024-02-07 12:00:00,2,1.511,5,2.38,26.909,0,0,0.50371,0
